,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
616,2016,3,Salta,107790,1,107791
617,2016,3,San Juan,51348,620,51968
618,2016,3,San Luis,12978,315,13293
619,2016,3,Santa Cruz,25886,371,26257
620,2016,3,Santa Fe,566625,386,567011
621,2016,3,Santiago Del Estero,35658,2,35660
622,2016,3,Tierra Del Fuego,31306,619,31925
623,2016,3,Tucumán,151282,37,151319
624,2016,2,Buenos Aires,3032776,12515,3045291
625,2016,2,Capital Federal,1384824,9760,1394584
626,2016,2,Catamarca,26543,13,26556
627,2016,2,Chaco,88235,16,88251
628,2016,2,Chubut,62116,1740,63856
629,2016,2,Córdoba,634680,234,634914
630,2016,2,Corrientes,86932,24,86956
631,2016,2,Entre Ríos,178194,179,178373
632,2016,2,Formosa,28801,1,28802
633,2016,2,Jujuy,41187,2,41189
634,2016,2,La Pampa,68403,485,68888
635,2016,2,La Rioja,16718,18,16736
636,2016,2,Mendoza,169274,1550,170824
